Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.6467910787437414,0.17128987517337033,0.5503565062388592,0.2612650729849799,0.6483032853425783
Random Forest,0.886309614120265,0.47959183673469385,0.02094474153297683,0.04013663535439795,0.6645790896654171
