Feature,Importance
cat__diag_2_413,0.0015757421461970453
cat__diag_2_250.6,0.001558748720788338
cat__diag_1_250.7,0.0015567914351691265
cat__diag_1_574,0.0015477966042010002
cat__diag_1_560,0.0015470221989293488
cat__diag_3_682,0.001519152879001745
cat__diag_1_435,0.0015134821043269976
cat__diag_3_518,0.0014966742488394561
cat__diag_1_493,0.0014954653333954296
cat__diag_1_V57,0.0014409834705697404
cat__diag_1_433,0.0013826674399737824
cat__diag_1_296,0.001379776783657156
cat__diag_2_493,0.0013638529475329259
cat__diag_3_305,0.0013203081599053518
cat__diag_1_998,0.0013164735672522604
cat__diag_3_493,0.0012862219988510773
cat__diag_1_507,0.0012292248809585274
cat__diag_1_8,0.0012286365016033975
cat__diag_1_578,0.0012252336464349566
cat__diag_3_530,0.0011797695916329642
cat__diag_3_Unknown,0.0011630563534257353
cat__metformin_Up,0.0011565284055606035
cat__diag_3_41,0.0011480224108336712
cat__glipizide_Up,0.0011274657454542912
cat__diag_3_786,0.0011248561808284464
cat__diag_1_403,0.0011145057795954904
cat__diag_3_491,0.0010947636247166
cat__diag_2_511,0.0010926967675110974
cat__diag_2_410,0.0010818088492646806
cat__diag_1_250.13,0.0010763035567534674
cat__diag_3_486,0.001054647296760448
cat__glyburide_Up,0.0010526247957469601
cat__diag_2_280,0.0010330854089030154
cat__diag_2_305,0.0010259022866358559
cat__diag_1_402,0.0010207595767809691
cat__diag_1_789,0.0010140125893287136
cat__diag_2_998,0.0010133155227153084
cat__diag_2_785,0.0009946619732005876
cat__diag_1_530,0.0009726089967449203
cat__diag_3_511,0.0009713393932825111
cat__diag_1_722,0.0009458341343234058
cat__diag_1_453,0.0009388972420592132
cat__diag_3_411,0.0009365124115513151
cat__diag_2_786,0.0009306065836805279
cat__diag_3_250.4,0.0009245842822143433
cat__diag_3_278,0.0009129177099220328
cat__diag_1_250.02,0.0009106093349555335
cat__glyburide-metformin_Steady,0.0009104428810776877
cat__diag_2_162,0.0009044704683419789
cat__diag_2_996,0.0009036477736308606
cat__diag_1_250.82,0.0008956281184539156
cat__race_Asian,0.0008941472658746152
cat__diag_1_250.11,0.0008933323711241278
cat__diag_2_38,0.0008916000672406879
cat__diag_2_440,0.0008885278229108931
cat__nateglinide_No,0.0008873210037839591
cat__glyburide-metformin_No,0.0008724218798511142
cat__diag_3_244,0.0008612984640468429
cat__diag_3_V58,0.0008604884198220123
cat__nateglinide_Steady,0.0008553953791771981
cat__diag_1_535,0.0008521114614340019
cat__glipizide_Down,0.0008517001871427676
cat__diag_1_285,0.0008474361383198996
cat__diag_3_357,0.0008427765337428653
cat__diag_1_458,0.0008384177753172966
cat__metformin_Down,0.0008366770027134462
cat__diag_2_577,0.0008339389177515865
cat__diag_1_415,0.0008232172268914181
cat__diag_3_785,0.0008161614589223522
cat__diag_3_280,0.0007894883432293776
cat__diag_3_536,0.000776977550982589
cat__diag_3_412,0.0007752747328179498
cat__glyburide_Down,0.0007741437776801418
cat__diag_2_342,0.0007721582536842371
cat__diag_3_996,0.000771586488387892
cat__diag_2_571,0.0007637607461950865
cat__diag_2_788,0.0007557524587303916
cat__diag_2_V45,0.0007542751000128833
cat__diag_2_799,0.0007531788783850808
cat__diag_1_733,0.0007509259079526381
cat__diag_2_560,0.0007495017412619574
cat__diag_3_287,0.000749452235580058
cat__diag_1_787,0.0007429254266260939
cat__diag_3_250.8,0.0007408439419680406
cat__diag_2_402,0.0007375525029126616
cat__diag_1_162,0.0007366368443488342
cat__diag_1_997,0.0007344087040777262
cat__diag_2_295,0.0007278521905023841
cat__diag_1_707,0.000727454124568368
cat__diag_1_295,0.0007266106495305628
cat__diag_1_558,0.0007250875006740957
cat__diag_1_724,0.0007224128982267595
cat__diag_2_250.41,0.0007198528580999792
cat__diag_3_438,0.0007121946313296761
cat__diag_1_197,0.0007111435529879021
cat__diag_3_799,0.0007099429362116122
cat__diag_2_578,0.0007069400613544881
cat__diag_2_41,0.0007050342197197122
cat__diag_2_197,0.0007030200996896797
cat__diag_2_198,0.0006992811474553644
cat__diag_1_280,0.0006905155873176722
cat__diag_2_997,0.0006771988094796749
cat__diag_1_511,0.000673327375797035
cat__diag_3_197,0.0006705965592255655
cat__diag_3_787,0.0006674585473838317
cat__diag_3_295,0.0006670465987164646
cat__diag_1_404,0.0006594287666448526
cat__diag_2_287,0.0006550917570827892
