Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.664983335016665,0.17486017073888727,0.5361010830324909,0.2637069922308546,0.6571204131034655
Random Forest,0.6590748409251591,0.17331796571099264,0.5428700361010831,0.26274980888937427,0.6531631711063239
