Feature,Importance
num__number_inpatient,0.12871335390928432
num__discharge_disposition_id,0.06991812782561038
num__num_medications,0.03568045605757567
num__number_emergency,0.03421522245514004
num__time_in_hospital,0.03149739690857058
num__number_diagnoses,0.028576118497041017
num__num_lab_procedures,0.028098620346096424
num__number_outpatient,0.016604559506211283
num__num_procedures,0.016200950537499703
num__admission_type_id,0.013286261169422537
num__admission_source_id,0.012740010841478735
cat__insulin_No,0.009756288248935716
cat__diag_3_250,0.009295648709340163
cat__age_[50-60),0.008752810275931899
cat__insulin_Down,0.007882981470919394
cat__diag_2_250,0.007834152959515332
cat__diag_3_401,0.007781589165934125
cat__diag_1_V58,0.007477587846128861
cat__diag_1_786,0.0071576411914462575
cat__metformin_Steady,0.007058645801134447
cat__metformin_No,0.00675980887047725
cat__diag_1_428,0.006645981857617465
cat__diabetesMed_Yes,0.006410634949185785
cat__age_[80-90),0.0062895429599992645
cat__age_[70-80),0.006219759702071595
cat__gender_Male,0.00601067598485571
cat__diag_1_434,0.0059513637207856546
cat__race_Caucasian,0.0056858103991091185
cat__gender_Female,0.005631023290655586
cat__diag_3_272,0.00550793660343536
cat__diabetesMed_No,0.005498250432937407
cat__insulin_Steady,0.005473861581891069
cat__diag_3_403,0.005293338446526724
cat__race_AfricanAmerican,0.005068991688141616
cat__diag_2_401,0.005066494962148387
cat__change_No,0.004870734994070492
cat__age_[60-70),0.004703583838154606
cat__change_Ch,0.004614554198179059
cat__diag_3_585,0.004460663147643347
cat__age_[40-50),0.004390124638065727
cat__glipizide_Steady,0.004386336702607953
cat__insulin_Up,0.004363645070632351
cat__glyburide_No,0.003960038224922799
cat__glipizide_No,0.003940642448511568
cat__diag_1_414,0.003824491491117714
cat__glyburide_Steady,0.0035820290276485332
cat__diag_1_486,0.003513649968757894
cat__diag_2_403,0.0034741840576720017
cat__diag_3_Unknown,0.0033653904914185185
cat__rosiglitazone_No,0.0033578514090334194
cat__rosiglitazone_Steady,0.0032686210029716388
cat__diag_1_250.6,0.0032170393895673754
cat__pioglitazone_Steady,0.003203331296659584
cat__diag_1_250.7,0.003194032777622633
cat__diag_2_428,0.003103619018977746
cat__diag_2_276,0.0030998713471891647
cat__pioglitazone_No,0.0030828222272866654
cat__race_Unknown,0.003017795015736742
cat__glimepiride_No,0.0029832918949729247
cat__glimepiride_Steady,0.002866525526945363
cat__diag_3_250.6,0.002830622846629463
cat__diag_3_414,0.002797802982590335
cat__age_[30-40),0.002685509124964112
cat__diag_2_414,0.002672709221600375
cat__diag_2_427,0.0025295632900340136
cat__diag_2_707,0.0025075855778807616
cat__diag_3_428,0.0023701981588535336
cat__diag_3_276,0.0022329569399565713
cat__diag_3_496,0.0022124752073186017
cat__race_Hispanic,0.0021802760276460964
cat__diag_2_585,0.002123274336918638
cat__diag_1_682,0.0021068736239321937
cat__diag_3_536,0.0020303297390249705
